sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,note,dry_mass,wc,r2,n,slope,sat_mass_est,keep,rwc,rwc_plotting
LATR_1,1,3.77,4.2159,0.5167999999999999,4.2159,0,NA,2.1702,0.9426320154824442,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,FALSE,0.740982623195398,0.259017376804602
LATR_1,1,4.18,4.1541,0.5786000000000007,4.1541,0,NA,2.1702,0.9141553773845728,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,FALSE,0.718597754390844,0.28140224560915605
LATR_1,1,4.44,4.0956,0.6371000000000002,4.0956,0,NA,2.1702,0.8871993364666853,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,FALSE,0.6974081941146889,0.3025918058853111
LATR_1,1,4.73,4.0515,0.6812000000000005,4.0515,0,"pv(""latr_3"", plotonly = T)",2.1702,0.8668786286978158,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,FALSE,0.6814345255988179,0.3185654744011821
LATR_1,1,4.95,3.9461,0.7866000000000004,3.9461,0,NA,2.1702,0.8183116763431942,0.994760270568772,9,-0.16275734435797645,4.9309934868677034,FALSE,0.643257095631181,0.35674290436881895
LATR_2,2,1.32,2.2396,0.02470000000000016,2.2396,0,NA,1.0052,1.2280143255073612,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,TRUE,0.9367702801155301,0.0632297198844699
LATR_2,2,1.49,2.2253,0.03900000000000014,2.2253,0,NA,1.0052,1.2137883008356543,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,TRUE,0.9259181940772507,0.07408180592274927
LATR_2,2,1.97,2.2023,0.06199999999999983,2.2023,0,NA,1.0052,1.1909072821329088,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,TRUE,0.9084637899597386,0.09153621004026136
LATR_2,2,2.32,2.1774,0.08689999999999998,2.1774,0,NA,1.0052,1.1661360923199362,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,TRUE,0.8895675002846926,0.11043249971530744
LATR_2,2,2.77,2.1452,0.11909999999999998,2.1452,0,NA,1.0052,1.134102666136092,0.9938553877522338,5,-0.0633024333719583,2.3229190034762457,TRUE,0.8651313345201753,0.13486866547982468
